iter	Passed	Remaining
0	1	133
1	2	130
2	3	114
3	4	100
4	5	96
5	5	91
6	6	90
7	7	89
8	8	87
9	9	85
10	10	83
11	11	81
12	12	81
13	12	78
14	13	76
15	14	74
16	15	73
17	15	72
18	16	71
19	17	70
20	18	69
21	19	68
22	20	67
23	21	67
24	22	66
25	22	65
26	23	64
27	24	63
28	25	63
29	26	62
30	27	61
31	28	61
32	29	60
33	30	59
34	31	59
35	32	58
36	33	57
37	34	56
38	35	56
39	36	55
40	38	55
41	39	53
42	40	53
43	40	52
44	42	51
45	43	50
46	44	50
47	45	49
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	53	43
55	54	42
56	55	42
57	56	41
58	58	40
59	59	39
60	60	38
61	61	37
62	62	36
63	63	35
64	64	34
65	66	34
66	67	33
67	68	32
68	69	31
69	70	30
70	71	29
71	72	28
72	73	27
73	74	26
74	76	25
75	77	24
76	78	23
77	79	22
78	80	21
79	81	20
80	82	19
81	83	18
82	84	17
83	85	16
84	86	15
85	87	14
86	88	13
87	89	12
88	89	11
89	90	10
90	91	9
91	92	8
92	92	6
93	93	5
94	94	4
95	95	3
96	96	2
97	97	1
98	98	0
99	99	0
