iter	Passed	Remaining
0	187	187729
1	189	94591
2	190	63290
3	191	47609
4	191	38204
5	192	31949
6	193	27488
7	194	24145
8	195	21548
9	196	19489
10	198	17835
11	199	16427
12	203	15421
13	204	14404
14	206	13578
15	208	12801
16	209	12114
17	210	11483
18	212	10984
19	214	10516
20	217	10116
21	218	9720
22	220	9349
23	220	8984
24	221	8649
25	224	8402
26	226	8145
27	226	7875
28	227	7624
29	229	7429
30	232	7262
31	233	7067
32	234	6872
33	235	6689
34	236	6523
35	237	6362
36	238	6213
37	239	6068
38	240	5931
39	242	5816
40	243	5707
41	245	5588
42	246	5478
43	247	5369
44	248	5267
45	249	5169
46	250	5071
47	250	4978
48	251	4887
49	252	4801
50	253	4718
51	254	4638
52	255	4561
53	257	4502
54	258	4433
55	258	4365
56	259	4300
57	260	4235
58	261	4173
59	262	4114
60	263	4054
61	264	3998
62	265	3948
63	266	3903
64	268	3856
65	269	3808
66	271	3785
67	273	3752
68	275	3716
69	276	3674
70	278	3641
71	279	3599
72	280	3556
73	280	3514
74	281	3473
75	282	3432
76	283	3392
77	283	3353
78	284	3315
79	286	3289
80	286	3256
81	287	3220
82	288	3182
83	288	3148
84	289	3115
85	290	3082
86	290	3050
87	291	3019
88	292	2989
89	292	2961
90	293	2931
91	294	2902
92	294	2873
93	295	2845
94	295	2818
95	296	2792
96	297	2766
97	297	2742
98	298	2718
99	300	2702
100	302	2688
101	302	2666
102	303	2643
103	304	2620
104	304	2599
105	305	2578
106	306	2559
107	307	2540
108	308	2521
109	309	2501
110	309	2481
111	310	2461
112	311	2442
113	311	2424
114	312	2406
115	313	2389
116	315	2379
117	316	2366
118	317	2350
119	318	2333
120	319	2317
121	319	2301
122	320	2285
123	321	2271
124	322	2259
125	323	2244
126	324	2228
127	324	2212
128	325	2198
129	326	2183
130	326	2168
131	327	2154
132	329	2146
133	330	2134
134	331	2124
135	332	2110
136	332	2097
137	333	2084
138	334	2071
139	335	2058
140	336	2047
141	336	2034
142	337	2022
143	338	2009
144	338	1997
145	339	1986
146	340	1974
147	341	1964
148	341	1953
149	343	1946
150	345	1940
151	346	1931
152	346	1920
153	347	1909
154	348	1898
155	348	1887
156	349	1878
157	350	1869
158	351	1859
159	352	1849
160	352	1838
161	353	1828
162	353	1817
163	354	1807
164	355	1797
165	355	1787
166	356	1777
167	356	1767
168	358	1762
169	359	1755
170	360	1747
171	361	1739
172	362	1731
173	362	1722
174	363	1714
175	364	1706
176	365	1698
177	365	1689
178	366	1681
179	367	1673
180	367	1665
181	368	1657
182	369	1649
183	370	1641
184	370	1634
185	372	1629
186	373	1625
187	375	1619
188	375	1612
189	376	1605
190	377	1598
191	378	1591
192	378	1584
193	379	1577
194	380	1571
195	381	1565
196	382	1558
197	383	1551
198	383	1544
199	384	1537
200	385	1531
201	386	1526
202	388	1525
203	389	1520
204	390	1514
205	391	1508
206	392	1502
207	392	1496
208	393	1489
209	394	1482
210	394	1476
211	395	1469
212	396	1463
213	396	1456
214	397	1450
215	397	1443
216	398	1437
217	398	1431
218	399	1424
219	400	1419
220	401	1415
221	402	1411
222	403	1406
223	404	1400
224	404	1394
225	405	1388
226	406	1382
227	406	1376
228	407	1371
229	408	1366
230	408	1360
231	409	1355
232	410	1349
233	410	1344
234	411	1339
235	412	1333
236	412	1328
237	413	1323
238	414	1318
239	414	1313
240	416	1310
241	416	1305
242	417	1300
243	418	1296
244	419	1291
245	419	1287
246	420	1282
247	421	1277
248	422	1273
249	422	1268
250	423	1263
251	424	1258
252	424	1254
253	425	1249
254	426	1244
255	426	1240
256	427	1235
257	428	1230
258	428	1226
259	429	1221
260	430	1219
261	431	1215
262	432	1211
263	432	1207
264	433	1202
265	434	1198
266	435	1194
267	435	1190
268	436	1185
269	436	1181
270	437	1176
271	438	1172
272	438	1168
273	439	1164
274	439	1159
275	440	1155
276	441	1151
277	441	1147
278	442	1143
279	443	1139
280	443	1135
281	444	1131
282	445	1128
283	446	1125
284	446	1121
285	447	1117
286	448	1113
287	448	1109
288	449	1105
289	450	1102
290	450	1098
291	451	1094
292	451	1090
293	452	1086
294	453	1082
295	453	1079
296	454	1075
297	454	1071
298	455	1068
299	456	1064
300	456	1060
301	457	1057
302	458	1053
303	458	1050
304	459	1048
305	460	1045
306	461	1041
307	462	1038
308	462	1035
309	463	1031
310	464	1028
311	464	1024
312	465	1021
313	466	1018
314	466	1014
315	467	1011
316	467	1007
317	468	1004
318	468	1001
319	469	997
320	470	994
321	470	991
322	471	987
323	471	984
324	472	981
325	473	978
326	473	975
327	474	972
328	475	970
329	476	967
330	477	964
331	478	961
332	478	958
333	479	955
334	480	953
335	481	950
336	482	948
337	482	945
338	483	942
339	484	939
340	484	937
341	485	934
342	486	931
343	486	928
344	487	925
345	488	923
346	490	922
347	490	919
348	491	916
349	492	913
350	492	910
351	493	907
352	493	905
353	494	902
354	494	899
355	495	896
356	496	893
357	496	890
358	497	888
359	498	885
360	498	882
361	499	879
362	499	876
363	500	874
364	501	871
365	501	868
366	502	866
367	502	863
368	504	862
369	505	860
370	505	857
371	506	855
372	507	852
373	508	850
374	508	847
375	509	845
376	509	842
377	510	840
378	511	837
379	511	834
380	512	832
381	512	829
382	513	827
383	514	824
384	514	822
385	515	819
386	516	817
387	516	814
388	517	812
389	518	810
390	519	808
391	520	807
392	521	804
393	521	802
394	522	800
395	523	797
396	523	795
397	524	793
398	525	790
399	525	788
400	526	786
401	527	784
402	527	782
403	528	780
404	529	777
405	530	775
406	530	773
407	531	771
408	532	769
409	533	767
410	534	766
411	535	764
412	536	761
413	536	759
414	537	757
415	537	754
416	538	752
417	538	750
418	539	748
419	540	745
420	540	743
421	541	741
422	541	739
423	542	737
424	543	734
425	543	732
426	544	730
427	544	728
428	545	725
429	546	723
430	546	721
431	547	720
432	548	718
433	549	716
434	550	714
435	550	712
436	551	710
437	551	708
438	552	706
439	553	703
440	553	701
441	554	699
442	554	697
443	555	695
444	556	693
445	556	691
446	557	689
447	557	687
448	558	685
449	559	683
450	559	681
451	560	679
452	561	677
453	561	675
454	563	674
455	564	672
456	564	671
457	565	669
458	566	667
459	566	665
460	567	663
461	568	662
462	569	660
463	569	658
464	570	656
465	571	654
466	571	652
467	572	650
468	572	648
469	573	646
470	574	644
471	574	642
472	575	640
473	575	638
474	576	637
475	577	635
476	578	634
477	579	632
478	580	630
479	580	629
480	581	627
481	581	625
482	582	623
483	583	621
484	583	619
485	584	617
486	584	616
487	585	614
488	586	612
489	586	610
490	587	608
